ts,sym,decision_epoch,digit,sigma,ctype,barrier,model_p,model_ev,rtt_ms,cid,status,pnl,exit_lag_s
03:03:37,JD100,1783307014,,4.350,DIGITOVER,5,0.4165,0.0108,112,4361816259,won,1.22,1
03:03:39,JD100,1783307016,,4.348,DIGITOVER,5,0.4165,0.0108,124,4361817839,won,1.22,1
03:03:41,JD100,1783307017,,4.347,DIGITOVER,5,0.4165,0.0108,90,4361818739,won,1.22,1
03:03:43,JD100,1783307019,,4.342,DIGITOVER,5,0.4165,0.0108,112,4361820359,lost,-1.0,1
03:03:47,JD100,1783307024,,4.342,DIGITOVER,5,0.4165,0.0108,104,4361823859,won,1.22,1
03:04:01,JD100,1783307038,,4.346,DIGITOVER,5,0.4165,0.0108,134,4361834299,lost,-1.0,1
03:04:03,JD100,1783307040,,4.344,DIGITOVER,5,0.4165,0.0108,99,4361835999,lost,-1.0,1
03:04:05,JD100,1783307041,,4.345,DIGITUNDER,4,0.4165,0.0108,96,4361836979,won,1.22,1
03:04:20,JD100,1783307057,,4.335,DIGITOVER,5,0.4165,0.0108,127,4361849579,won,1.22,1
03:04:23,JD100,1783307060,,4.330,DIGITUNDER,4,0.4165,0.0108,106,4361852039,won,1.22,1
03:04:26,JD100,1783307063,,4.330,DIGITUNDER,4,0.4165,0.0108,90,4361854379,won,1.22,1
03:04:28,JD100,1783307064,,4.329,DIGITUNDER,4,0.4165,0.0108,104,4361855139,lost,-1.0,1
03:04:32,JD100,1783307069,,4.327,DIGITUNDER,4,0.4165,0.0108,97,4361859099,won,1.22,1
03:04:54,JD100,1783307091,,4.331,DIGITOVER,5,0.4165,0.0108,108,4361874779,lost,-1.0,1
03:04:56,JD100,1783307093,,4.330,DIGITOVER,5,0.4165,0.0108,111,4361875959,lost,-1.0,1
03:04:59,JD100,1783307096,,4.330,DIGITOVER,5,0.4165,0.0108,104,4361878019,won,1.22,1
03:05:10,JD100,1783307107,,4.339,DIGITUNDER,4,0.4165,0.0108,109,4361886819,won,1.22,1
03:05:12,JD100,1783307108,,4.339,DIGITUNDER,4,0.4165,0.0108,158,4361887379,won,1.22,1
03:05:14,JD100,1783307109,,4.338,DIGITUNDER,4,0.4165,0.0108,117,4361888119,lost,-1.0,1
03:05:16,JD100,1783307110,,4.337,DIGITOVER,5,0.4165,0.0108,91,4361888899,lost,-1.0,1
03:05:20,JD100,1783307117,,4.329,DIGITUNDER,4,0.4165,0.0108,146,4361894059,lost,-1.0,1
03:05:22,JD100,1783307119,,4.328,DIGITOVER,5,0.4165,0.0108,167,4361895799,won,1.22,1
03:05:24,JD100,1783307120,,4.328,DIGITOVER,5,0.4165,0.0108,113,4361896599,lost,-1.0,1
03:05:28,JD100,1783307125,,4.328,DIGITUNDER,4,0.4165,0.0108,114,4361900119,lost,-1.0,1
03:05:30,JD100,1783307127,,4.330,DIGITOVER,5,0.4165,0.0108,110,4361901859,lost,-1.0,1
03:05:32,JD100,1783307129,,4.331,DIGITUNDER,4,0.4165,0.0108,97,4361903379,won,1.22,1
03:05:35,JD100,1783307132,,4.332,DIGITUNDER,4,0.4165,0.0108,86,4361905399,lost,-1.0,1
03:05:38,JD100,1783307135,,4.332,DIGITUNDER,4,0.4165,0.0108,84,4361908139,lost,-1.0,1
03:05:41,JD100,1783307138,,4.340,DIGITOVER,5,0.4165,0.0108,177,4361910139,won,1.22,1
03:05:44,JD100,1783307141,,4.346,DIGITUNDER,4,0.4165,0.0108,102,4361912839,lost,-1.0,1
03:05:46,JD100,1783307142,,4.347,DIGITOVER,5,0.4165,0.0108,103,4361913479,lost,-1.0,1
03:05:59,JD100,1783307156,,4.349,DIGITUNDER,4,0.4165,0.0108,106,4361924159,lost,-1.0,1
03:06:03,JD100,1783307161,,4.341,DIGITOVER,5,0.4165,0.0108,112,4361928419,lost,-1.0,1
03:06:36,JD100,1783307193,,4.342,DIGITOVER,5,0.4165,0.0108,116,4361954739,lost,-1.0,1
03:06:42,JD100,1783307199,,4.341,DIGITOVER,5,0.4165,0.0108,107,4361958799,won,1.22,1
03:06:45,JD100,1783307202,,4.335,DIGITUNDER,4,0.4165,0.0108,188,4361961159,won,1.22,1
03:06:51,JD100,1783307208,,4.343,DIGITUNDER,4,0.4165,0.0108,121,4361965679,won,1.22,1
03:06:56,JD100,1783307213,,4.343,DIGITUNDER,4,0.4165,0.0108,113,4361969399,won,1.22,1
03:07:19,JD100,1783307236,,4.350,DIGITOVER,5,0.4165,0.0108,92,4361986959,lost,-1.0,1
