epoch,quote,bid,ask,recv_ts
1783266682,14725.718,14725.645,14725.792,1783266682.162
1783266683,14725.701,14725.627,14725.775,1783266683.125
1783266684,14725.691,14725.618,14725.765,1783266684.162
1783266685,14725.669,14725.595,14725.742,1783266685.128
1783266686,14725.648,14725.575,14725.722,1783266686.150
1783266687,14725.644,14725.57,14725.718,1783266687.113
1783266688,14725.626,14725.552,14725.699,1783266688.134
1783266689,14725.596,14725.523,14725.67,1783266689.116
1783266690,14725.578,14725.505,14725.652,1783266690.147
1783266691,14725.557,14725.483,14725.63,1783266691.117
1783266692,14725.528,14725.455,14725.602,1783266692.149
1783266693,14725.523,14725.449,14725.597,1783266693.137
1783266694,14725.521,14725.448,14725.595,1783266694.149
1783266695,14725.502,14725.428,14725.576,1783266695.115
1783266696,14725.49,14725.416,14725.563,1783266696.139
1783266697,14725.489,14725.416,14725.563,1783266697.121
1783266698,14725.478,14725.405,14725.552,1783266698.204
1783266699,14725.444,14725.371,14725.518,1783266699.117
1783266700,14725.439,14725.365,14725.512,1783266700.145
1783266701,14725.416,14725.342,14725.489,1783266701.110
1783266702,14725.411,14725.338,14725.485,1783266702.143
1783266703,14725.411,14725.338,14725.485,1783266703.118
1783266704,14725.411,14725.337,14725.485,1783266704.139
1783266705,14725.407,14725.333,14725.48,1783266705.113
1783266706,14725.405,14725.331,14725.478,1783266706.149
1783266707,14725.397,14725.324,14725.471,1783266707.116
1783266708,14725.391,14725.317,14725.464,1783266708.138
1783266709,14725.367,14725.293,14725.44,1783266709.131
1783266710,14725.361,14725.287,14725.435,1783266710.140
1783266711,14725.334,14725.26,14725.407,1783266711.134
1783266712,14725.333,14725.259,14725.406,1783266712.156
1783266713,14725.298,14725.224,14725.372,1783266713.114
1783266714,14725.297,14725.224,14725.371,1783266714.144
1783266715,14725.277,14725.203,14725.351,1783266715.127
1783266716,14725.263,14725.189,14725.336,1783266716.174
1783266717,14725.262,14725.188,14725.335,1783266717.114
1783266718,14725.245,14725.171,14725.319,1783266718.163
1783266719,14725.24,14725.166,14725.314,1783266719.127
1783266720,14725.233,14725.159,14725.306,1783266720.204
1783266721,14725.205,14725.131,14725.278,1783266721.131
1783266722,14725.201,14725.127,14725.275,1783266722.273
1783266723,14725.173,14725.099,14725.247,1783266723.122
1783266724,14725.165,14725.091,14725.238,1783266724.232
1783266725,14725.161,14725.088,14725.235,1783266725.127
1783266726,14725.152,14725.078,14725.225,1783266726.137
1783266727,14725.147,14725.073,14725.221,1783266727.118
1783266728,14725.143,14725.069,14725.216,1783266728.201
1783266729,14725.132,14725.059,14725.206,1783266729.120
1783266730,14725.131,14725.058,14725.205,1783266730.127
1783266731,14725.122,14725.048,14725.196,1783266731.163
1783266732,14725.113,14725.039,14725.187,1783266732.149
1783266733,14725.109,14725.035,14725.182,1783266733.109
1783266734,14725.088,14725.015,14725.162,1783266734.156
1783266735,14725.079,14725.005,14725.153,1783266735.125
1783266736,14725.071,14724.997,14725.144,1783266736.135
1783266737,14725.068,14724.995,14725.142,1783266737.120
1783266738,14725.067,14724.993,14725.14,1783266738.145
1783266739,14725.054,14724.98,14725.127,1783266739.129
1783266740,14725.048,14724.974,14725.122,1783266740.142
1783266741,14725.045,14724.971,14725.118,1783266741.131
1783266742,14725.02,14724.946,14725.093,1783266742.140
1783266743,14725.019,14724.946,14725.093,1783266743.125
1783266744,14724.996,14724.923,14725.07,1783266744.178
1783266745,14724.996,14724.922,14725.07,1783266745.128
1783266746,14724.986,14724.913,14725.06,1783266746.146
1783266747,14724.981,14724.907,14725.054,1783266747.122
1783266748,14724.978,14724.905,14725.052,1783266748.171
1783266749,14724.97,14724.896,14725.044,1783266749.129
1783266750,14724.96,14724.887,14725.034,1783266750.155
1783266751,14724.943,14724.87,14725.017,1783266751.120
1783266752,14724.927,14724.853,14725,1783266752.135
1783266753,14724.925,14724.852,14724.999,1783266753.123
1783266754,14724.898,14724.824,14724.972,1783266754.163
1783266755,14724.892,14724.818,14724.966,1783266755.128
1783266756,14724.878,14724.805,14724.952,1783266756.139
1783266757,14724.866,14724.792,14724.94,1783266757.121
1783266758,14724.828,14724.755,14724.902,1783266758.249
1783266759,14724.815,14724.741,14724.888,1783266759.122
1783266760,14724.813,14724.74,14724.887,1783266760.164
1783266761,14724.799,14724.725,14724.873,1783266761.115
1783266762,14724.791,14724.717,14724.864,1783266762.133
1783266763,14724.762,14724.689,14724.836,1783266763.122
1783266764,14724.759,14724.686,14724.833,1783266764.137
1783266765,14724.753,14724.679,14724.827,1783266765.112
1783266766,14724.73,14724.656,14724.804,1783266766.147
1783266767,14724.728,14724.654,14724.802,1783266767.215
1783266768,14724.715,14724.641,14724.789,1783266768.175
1783266769,14724.708,14724.635,14724.782,1783266769.130
1783266770,14724.688,14724.614,14724.761,1783266770.150
1783266771,14724.66,14724.586,14724.733,1783266771.114
1783266772,14724.64,14724.567,14724.714,1783266772.154
1783266773,14724.637,14724.563,14724.711,1783266773.126
1783266774,14724.626,14724.552,14724.699,1783266774.151
1783266775,14724.623,14724.549,14724.697,1783266775.120
1783266776,14724.606,14724.532,14724.68,1783266776.156
1783266777,14724.577,14724.503,14724.65,1783266777.128
1783266778,14724.569,14724.495,14724.642,1783266778.143
1783266779,14724.568,14724.494,14724.641,1783266779.116
1783266780,14724.557,14724.483,14724.631,1783266780.163
1783266781,14724.534,14724.461,14724.608,1783266781.120
1783266782,14724.515,14724.442,14724.589,1783266782.197
1783266783,14724.491,14724.417,14724.564,1783266783.114
1783266784,14724.478,14724.404,14724.551,1783266784.150
1783266785,14724.439,14724.366,14724.513,1783266785.130
1783266786,14724.439,14724.365,14724.513,1783266786.138
1783266787,14724.432,14724.358,14724.506,1783266787.122
1783266788,14724.404,14724.331,14724.478,1783266788.203
1783266789,14724.39,14724.316,14724.464,1783266789.121
1783266790,14724.374,14724.3,14724.448,1783266790.163
1783266791,14724.34,14724.266,14724.413,1783266791.121
1783266792,14724.327,14724.253,14724.4,1783266792.153
1783266793,14724.323,14724.249,14724.396,1783266793.129
1783266794,14724.293,14724.219,14724.366,1783266794.144
1783266795,14724.288,14724.214,14724.361,1783266795.118
1783266796,14724.264,14724.191,14724.338,1783266796.149
1783266797,14724.254,14724.18,14724.328,1783266797.116
1783266798,14724.228,14724.154,14724.301,1783266798.146
1783266799,14724.214,14724.14,14724.288,1783266799.125
1783266800,14724.201,14724.128,14724.275,1783266800.136
1783266801,14724.19,14724.116,14724.264,1783266801.120
1783266802,14724.181,14724.107,14724.255,1783266802.130
1783266803,14724.171,14724.097,14724.244,1783266803.125
1783266804,14724.149,14724.075,14724.223,1783266804.147
1783266805,14724.127,14724.053,14724.2,1783266805.116
1783266806,14724.105,14724.031,14724.178,1783266806.140
1783266807,14724.094,14724.02,14724.167,1783266807.119
1783266808,14724.083,14724.009,14724.157,1783266808.161
1783266809,14724.074,14724.001,14724.148,1783266809.129
1783266810,14724.07,14723.997,14724.144,1783266810.143
1783266811,14724.052,14723.979,14724.126,1783266811.115
1783266812,14724.024,14723.95,14724.097,1783266812.141
1783266813,14723.996,14723.922,14724.069,1783266813.144
1783266814,14723.985,14723.912,14724.059,1783266814.146
1783266815,14723.982,14723.908,14724.056,1783266815.114
1783266816,14723.954,14723.88,14724.027,1783266816.165
1783266817,14723.925,14723.852,14723.999,1783266817.132
1783266818,14723.92,14723.846,14723.994,1783266818.243
1783266819,14723.917,14723.843,14723.99,1783266819.118
1783266820,14723.913,14723.84,14723.987,1783266820.133
1783266821,14723.899,14723.826,14723.973,1783266821.133
1783266822,14723.886,14723.812,14723.96,1783266822.142
1783266823,14723.875,14723.802,14723.949,1783266823.123
1783266824,14723.846,14723.772,14723.919,1783266824.136
1783266825,14723.841,14723.768,14723.915,1783266825.120
1783266826,14723.824,14723.751,14723.898,1783266826.142
1783266827,14723.792,14723.718,14723.866,1783266827.117
1783266828,14723.776,14723.702,14723.85,1783266828.136
1783266829,14723.752,14723.679,14723.826,1783266829.124
1783266830,14723.719,14723.645,14723.792,1783266830.161
1783266831,14723.718,14723.644,14723.791,1783266831.121
1783266832,14723.687,14723.613,14723.761,1783266832.131
1783266833,14723.677,14723.604,14723.751,1783266833.118
1783266834,14723.663,14723.589,14723.736,1783266834.136
1783266835,14723.653,14723.579,14723.726,1783266835.122
1783266836,14723.635,14723.562,14723.709,1783266836.133
1783266837,14723.615,14723.541,14723.689,1783266837.116
1783266838,14723.606,14723.532,14723.68,1783266838.151
1783266839,14723.593,14723.52,14723.667,1783266839.117
1783266840,14723.585,14723.511,14723.658,1783266840.142
1783266841,14723.567,14723.493,14723.641,1783266841.128
1783266842,14723.558,14723.484,14723.632,1783266842.148
1783266843,14723.526,14723.453,14723.6,1783266843.165
1783266844,14723.522,14723.448,14723.595,1783266844.147
1783266845,14723.51,14723.437,14723.584,1783266845.126
1783266846,14723.484,14723.411,14723.558,1783266846.131
1783266847,14723.476,14723.402,14723.549,1783266847.118
1783266848,14723.454,14723.381,14723.528,1783266848.203
1783266849,14723.452,14723.379,14723.526,1783266849.111
1783266850,14723.433,14723.36,14723.507,1783266850.141
1783266851,14723.417,14723.343,14723.49,1783266851.114
1783266852,14723.416,14723.342,14723.49,1783266852.162
1783266853,14723.407,14723.334,14723.481,1783266853.134
1783266854,14723.38,14723.306,14723.453,1783266854.134
1783266855,14723.364,14723.29,14723.438,1783266855.114
1783266856,14723.358,14723.284,14723.432,1783266856.150
1783266857,14723.348,14723.274,14723.421,1783266857.121
1783266858,14723.337,14723.263,14723.411,1783266858.165
1783266859,14723.32,14723.246,14723.393,1783266859.114
1783266860,14723.307,14723.234,14723.381,1783266860.166
1783266861,14723.306,14723.232,14723.379,1783266861.126
1783266862,14723.291,14723.218,14723.365,1783266862.138
1783266863,14723.275,14723.201,14723.348,1783266863.143
1783266864,14723.267,14723.193,14723.34,1783266864.147
1783266865,14723.261,14723.188,14723.335,1783266865.128
1783266866,14723.247,14723.173,14723.321,1783266866.137
1783266867,14723.246,14723.173,14723.32,1783266867.114
1783266868,14723.225,14723.151,14723.298,1783266868.129
1783266869,14723.188,14723.115,14723.262,1783266869.115
1783266870,14723.145,14723.072,14723.219,1783266870.142
1783266871,14723.141,14723.068,14723.215,1783266871.120
1783266872,14723.135,14723.062,14723.209,1783266872.155
1783266873,14723.12,14723.046,14723.194,1783266873.117
1783266874,14723.095,14723.021,14723.169,1783266874.144
1783266875,14723.057,14722.983,14723.13,1783266875.122
1783266876,14723.033,14722.959,14723.106,1783266876.149
1783266877,14723.018,14722.944,14723.091,1783266877.127
1783266878,14723.013,14722.94,14723.087,1783266878.250
1783266879,14723.01,14722.937,14723.084,1783266879.121
1783266880,14723.003,14722.93,14723.077,1783266880.129
