epoch,quote,bid,ask,recv_ts
1783266682,7836.7,7836.7,7836.7,1783266682.166
1783266683,7836.8,7836.8,7836.8,1783266683.124
1783266684,7836.9,7836.9,7836.9,1783266684.164
1783266685,7837,7837,7837,1783266685.128
1783266686,7837.1,7837.1,7837.1,1783266686.149
1783266687,7837.2,7837.2,7837.2,1783266687.114
1783266688,7837.1,7837.1,7837.1,1783266688.134
1783266689,7837.2,7837.2,7837.2,1783266689.116
1783266690,7837.1,7837.1,7837.1,1783266690.148
1783266691,7837,7837,7837,1783266691.117
1783266692,7836.9,7836.9,7836.9,1783266692.149
1783266693,7837,7837,7837,1783266693.137
1783266694,7837.1,7837.1,7837.1,1783266694.148
1783266695,7837.2,7837.2,7837.2,1783266695.115
1783266696,7837.3,7837.3,7837.3,1783266696.140
1783266697,7837.4,7837.4,7837.4,1783266697.118
1783266698,7837.3,7837.3,7837.3,1783266698.204
1783266699,7837.2,7837.2,7837.2,1783266699.118
1783266700,7837.3,7837.3,7837.3,1783266700.144
1783266701,7837.2,7837.2,7837.2,1783266701.111
1783266702,7837.3,7837.3,7837.3,1783266702.144
1783266703,7837.2,7837.2,7837.2,1783266703.119
1783266704,7837.1,7837.1,7837.1,1783266704.139
1783266705,7837.2,7837.2,7837.2,1783266705.113
1783266706,7837.3,7837.3,7837.3,1783266706.150
1783266707,7837.4,7837.4,7837.4,1783266707.115
1783266708,7837.5,7837.5,7837.5,1783266708.138
1783266709,7837.4,7837.4,7837.4,1783266709.130
1783266710,7837.3,7837.3,7837.3,1783266710.139
1783266711,7837.2,7837.2,7837.2,1783266711.135
1783266712,7837.3,7837.3,7837.3,1783266712.157
1783266713,7837.4,7837.4,7837.4,1783266713.113
1783266714,7837.3,7837.3,7837.3,1783266714.143
1783266715,7837.4,7837.4,7837.4,1783266715.127
1783266716,7837.5,7837.5,7837.5,1783266716.172
1783266717,7837.6,7837.6,7837.6,1783266717.113
1783266718,7837.5,7837.5,7837.5,1783266718.163
1783266719,7837.6,7837.6,7837.6,1783266719.128
1783266720,7837.5,7837.5,7837.5,1783266720.203
1783266721,7837.4,7837.4,7837.4,1783266721.132
1783266722,7837.5,7837.5,7837.5,1783266722.274
1783266723,7837.4,7837.4,7837.4,1783266723.123
1783266724,7837.5,7837.5,7837.5,1783266724.230
1783266725,7837.4,7837.4,7837.4,1783266725.127
1783266726,7837.5,7837.5,7837.5,1783266726.135
1783266727,7837.6,7837.6,7837.6,1783266727.118
1783266728,7837.5,7837.5,7837.5,1783266728.202
1783266729,7837.6,7837.6,7837.6,1783266729.119
1783266730,7837.7,7837.7,7837.7,1783266730.126
1783266731,7837.6,7837.6,7837.6,1783266731.124
1783266732,7837.7,7837.7,7837.7,1783266732.150
1783266733,7837.6,7837.6,7837.6,1783266733.110
1783266734,7837.7,7837.7,7837.7,1783266734.155
1783266735,7837.6,7837.6,7837.6,1783266735.124
1783266736,7837.7,7837.7,7837.7,1783266736.136
1783266737,7837.8,7837.8,7837.8,1783266737.120
1783266738,7837.9,7837.9,7837.9,1783266738.145
1783266739,7837.8,7837.8,7837.8,1783266739.130
1783266740,7837.9,7837.9,7837.9,1783266740.141
1783266741,7838,7838,7838,1783266741.130
1783266742,7838.1,7838.1,7838.1,1783266742.142
1783266743,7838.2,7838.2,7838.2,1783266743.125
1783266744,7838.3,7838.3,7838.3,1783266744.167
1783266745,7838.2,7838.2,7838.2,1783266745.130
1783266746,7838.1,7838.1,7838.1,1783266746.147
1783266747,7838.2,7838.2,7838.2,1783266747.123
1783266748,7838.3,7838.3,7838.3,1783266748.172
1783266749,7838.2,7838.2,7838.2,1783266749.129
1783266750,7838.1,7838.1,7838.1,1783266750.154
1783266751,7838.2,7838.2,7838.2,1783266751.120
1783266752,7838.3,7838.3,7838.3,1783266752.136
1783266753,7838.2,7838.2,7838.2,1783266753.124
1783266754,7838.3,7838.3,7838.3,1783266754.163
1783266755,7838.2,7838.2,7838.2,1783266755.129
1783266756,7838.1,7838.1,7838.1,1783266756.138
1783266757,7838.2,7838.2,7838.2,1783266757.121
1783266758,7838.1,7838.1,7838.1,1783266758.250
1783266759,7838,7838,7838,1783266759.122
1783266760,7838.1,7838.1,7838.1,1783266760.168
1783266761,7838,7838,7838,1783266761.115
1783266762,7838.1,7838.1,7838.1,1783266762.134
1783266763,7838,7838,7838,1783266763.123
1783266764,7837.9,7837.9,7837.9,1783266764.138
1783266765,7838,7838,7838,1783266765.111
1783266766,7838.1,7838.1,7838.1,1783266766.147
1783266767,7838.2,7838.2,7838.2,1783266767.216
1783266768,7838.3,7838.3,7838.3,1783266768.174
1783266769,7838.4,7838.4,7838.4,1783266769.131
1783266770,7838.3,7838.3,7838.3,1783266770.149
1783266771,7838.2,7838.2,7838.2,1783266771.114
1783266772,7838.1,7838.1,7838.1,1783266772.155
1783266773,7838.2,7838.2,7838.2,1783266773.127
1783266774,7838.1,7838.1,7838.1,1783266774.151
